spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,species
BANG,CFM,17,0.276276276,179.06,164.83,85.63,0.0016,0.1677,0.0438,0.0002,1.2196,0.0064,230.76,-1.3069,0
BANG,CFM,18,0.237322515,4.61,159.21,118.7,0.0036,0.2394,0.0533,0.0009,1.1233,0.0311,231.45,-1.9481,0
BANG,CFM,19,0.239548955,10.24,191.64,86.6,0.4646,0.1832,-0.018,0,1.1529,0.033,242.51,-1.9919,0
BANG,CFM,20,0.298309179,179.45,168.82,80.25,0.0016,0.1706,0.0687,0.0001,0.9011,0.0283,231.04,1.3652,0
BANG,CFM,21,0.243088159,179.86,146.28,94.2,0,0.225,0.1413,0.0008,0.8105,0.0392,228.3,-0.4327,0
BANG,CFM,22,0.267917268,179.87,147.99,98.73,0.0041,0.2321,0.0967,0,0.9662,0.069,229.67,0.7492,0
BANG,CFM,23,0.285413375,0.07,148.76,117.68,0.0005,0.2492,0.0917,0.0002,0.9095,0.0265,232.38,1.7123,0
BANG,CFM,24,0.233766234,178.46,151.05,84.07,0.0061,0.1906,0.1098,0,0.8863,0.0234,229.72,3.2467,0
BANG,CFM,25,0.214067278,1.95,140.76,107.66,0.0167,0.2928,0.1858,0.0031,0.8268,0.0146,237.63,-0.0953,0
BANG,CFM,26,0.281219272,175.7,145.58,114.78,0.0006,0.1864,0.0169,0,0.9435,0.0697,238.62,-4.2991,0
BANG,CFM,27,0.313408345,179.77,134.43,111.6,0.0097,0.2426,0.0178,0,0.9757,0.0653,236.91,-5.1503,0
BANG,CFM,28,0.226851852,177.95,128.86,101.37,0.0004,0.282,0.0543,0.0002,0.8675,0.0768,238.89,-2.3592,0
BANG,CFM,29,0.255841679,4.66,133.79,115.94,0.0046,0.2003,-0.0247,0,0.915,0.0639,234.03,-3.0887,0
BANG,CFM,30,0.256578947,179.09,135.17,104.17,0,0.2346,0.0277,0,1.0205,0.0318,234.54,-0.1258,0
BANG,CFM,31,0.24235474,178.44,140.88,55.68,0,0.1922,-0.0044,0,0.905,0.0112,227.91,9.5664,0
BANG,CFM,32,0.210813492,177.64,129.75,79.48,0,0.2243,0.0539,0.0017,0.9225,0.0444,234.62,6.6965,0
BANG,CFM,33,0.245628878,179.94,141.93,74.05,0.0501,0.1779,0.0125,0,1.0556,0.0079,232.59,7.1136,0
BANG,CFM,34,0.257122507,177.2,125.04,52.47,0,0.2026,0.0012,0,0.8817,0.045,232.22,10.6222,0
BANG,CFM,35,0.242780225,2.01,146.88,73.69,0,0.1439,0.0012,0,0.9431,0.0276,231.62,12.6618,0
BANG,CFM,36,0.263954095,178.86,153.5,70.28,0.0059,0.1572,-0.001,0,0.9835,0.0433,229.21,0.4032,0
BANG,CFM,37,0.245227606,178.24,156.49,71.97,0,0.1177,0.0751,0.0001,0.9938,0.0107,222.52,4.8394,0
BANG,CFM,38,0.248448957,179.38,145.31,76.21,0,0.2137,0.0876,0.0002,0.9171,0.0181,226.95,4.2942,0
BANG,CFM,39,0.248578811,177.37,132.94,85.02,0,0.1559,0.0732,0,0.9446,0.0328,225.93,4.9959,0
BANG,CFM,40,0.260858586,178.33,157.52,67.13,0,0.1375,-0.0068,0,0.9359,0.0201,234.62,2.2976,0
BANG,CFM,41,0.228249476,1.13,143.19,76.37,0.1268,0.211,-0.0185,0,0.8832,0.0761,236.23,8.5692,0
BANG,CFM,42,0.262578616,178.25,151.41,65.12,0,0.1252,-0.032,0,0.8327,0.087,236.5,6.9256,0
BANG,CFM,43,0.298777246,179.89,151.66,68.27,0.0254,0.1037,0.019,0,0.9803,0.078,240.4,3.7273,0
