spec,loc,num,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b
BANG,NFP,25,-0.0663,0.0015,0.8105,0.1978,231.58,0.8487
BANG,NFP,26,-0.0322,0.0005,0.7928,0.161,239.85,-3.9311
BANG,NFP,27,0.0223,0,0.6946,0.1382,226.47,1.2224
BANG,NFP,28,0.0409,0,0.6573,0.1409,228.38,2.2551
BANG,NFP,29,0.046,0,0.5452,0.1593,231.41,-0.8693
BANG,NFP,30,0.0269,0,0.5516,0.1083,232.02,-0.476
BANG,NFP,31,0.0554,0,0.6473,0.1208,228.11,0.0925
BANG,PWM,1,-0.1053,0,0.891,0.2106,234.06,-4.2311
BANG,PWM,2,0.1456,0,0.8161,0.1802,232.7,-2.8193
BANG,PWM,3,0.1029,0,0.863,0.1722,230.31,-3.3937
BANG,PWM,4,0.0373,0,0.8446,0.147,234.1,-5.0463
BANG,PWM,5,0.1261,0,0.856,0.164,233.42,-2.3434
BANG,PWM,6,0.0999,0,0.8369,0.1253,231.84,-1.746
BANG,PWM,7,0.0295,0,0.657,0.1209,232.27,-0.3101
BANG,PWM,8,0.0121,0,0.7771,0.1087,234.06,-1.3563
BANG,PWM,9,0.0327,0,0.6761,0.1281,238.13,-0.9584
BANG,PWM,10,0.1229,0,0.7015,0.1183,238.18,-1.2402
BANG,PWM,11,0.0526,0,0.7506,0.0651,220.03,-2.0581
BANG,PWM,12,-0.0861,0,0.8498,0.1339,236.89,-1.3104
BANG,PWM,13,-0.0034,0,0.8168,0.1647,233.83,-0.5026
BANG,PWM,14,0.0869,0,0.6744,0.1576,235.6,-1.2121
BANG,PWM,15,0.008,0,0.5086,0.1068,231.51,-1.7852
BANG,PWM,16,0.101,0.0003,0.7746,0.1678,234.21,-2.0196
BANG,PWM,17,-0.0441,0,0.6973,0.1216,231.4,-2.2527
BANG,PWM,18,-0.0765,0,0.817,0.1436,235.15,-1.4799
BANG,PWM,19,0.2477,0.0025,0.6873,0.1562,231.49,-2.1393
BANG,PWM,20,-0.0138,0,0.6646,0.1214,235.11,-0.9607
BANG,PWM,21,0.0973,0,0.8175,0.127,232.97,-2.5776
BANG,PWM,22,0.0042,0,0.9698,0.0271,210.58,-0.6959
BANG,PWM,23,0.2291,0.0018,0.9968,0.0326,231.63,-8.1273
BANG,PWM,24,0.0818,0,0.8608,0.0752,229.08,-5.4878
BANG,PWM,25,0.1172,0,0.8587,0.0472,233.19,-6.0846
BANG,PWM,26,0.1334,0.0003,0.928,0.0725,223.47,-3.5426
BANG,PWM,27,0.0694,0,0.9762,0.068,223.55,-6.8929
BANG,PWM,28,0.0551,0,0.9783,0.0652,222.97,-2.5032
BANG,PWM,29,0.0393,0,0.7553,0.0448,230.08,-3.086
BANG,PWM,30,0.0009,0,1.2721,0.1187,226.51,-2.0571
BANG,PWM,31,0.1982,0.0013,0.6021,0.1116,237.79,-3.2458
BANG,PWM,32,0.0895,0,0.778,0.0898,220.81,-3.7657
BANG,PWM,33,0.0436,0,0.823,0.1294,233.83,-3.9026
BANG,PWM,34,0.0137,0,0.7101,0.1221,234.45,-1.4336
CARP,CFM,1,0.1723,0.0057,0.911,0.1117,221.35,0.4968
CARP,CFM,2,0.0995,0.0007,1.0237,0.0884,213.88,0.1366
CARP,CFM,3,0.0969,0.0003,1.0473,0.1138,220.87,-0.8214
CARP,CFM,4,0.1403,0.0001,0.9192,0.0396,235.33,6.22
CARP,CFM,5,0.0343,0.0002,0.8978,0.0615,214.45,7.4929
CARP,NFP,1,0.1834,0.0007,0.8291,0.1106,234.78,-7.9182
CARP,NFP,2,0.0412,0,0.7568,0.1663,225.13,-1.6853
CARP,NFP,3,0.023,0,0.4378,0.1246,231.73,-0.7633
CARP,NFP,4,0.3932,0.01,0.7108,0.0904,230.34,2.4573
CARP,NFP,5,0.6415,0.0233,0.5731,0.1185,224.74,-1.0862
CARP,NFP,6,0.0788,0,0.7225,0.0987,223.39,0.612
CARP,NFP,7,0.4081,0.0174,0.7831,0.0456,221.23,-1.5104
CARP,NFP,8,0.0784,0,0.6077,0.0643,222.25,-3.6461
CARP,NFP,9,0.1743,0.0011,0.6889,0.0615,219.84,-1.7801
CARP,NFP,10,0.2782,0.0073,0.75,0.0918,221.92,-1.8118
CARP,NFP,11,0.434,0.0184,0.6162,0.0521,220.76,1.631
CARP,NFP,12,0.2854,0.0085,0.6552,0.0709,223.43,0.9267
CARP,NFP,13,0.2907,0.0022,0.8005,0.1208,218.78,-1.9461
