spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,gill_score,eye_score,body_score,rule_score,rule_quality
BANG,BWM,21,0.25748502994011974,1.1,154.9,113.62,0.0375,0.2994,0.0159,0.0,0.7413,0.0801,233.07,1.6843,0.82,0.76,0.32,0.7,high
BANG,BWM,22,0.282444803446419,9.35,167.35,107.63,0.5881,0.3456,0.1005,0.0,0.9032,0.0281,225.73,0.2048,0.44,0.56,0.1,0.41,mid
BANG,BWM,23,0.29273084479371314,4.2,176.57,95.42,0.0667,0.2893,0.0315,0.0001,0.9612,0.0184,224.2,-2.568,0.81,0.58,0.14,0.61,mid
BANG,BWM,24,0.2813076720274189,9.18,168.85,112.74,0.5217,0.3111,0.0319,0.0,0.8306,0.0226,222.9,-1.7355,0.46,0.68,0.13,0.46,mid
BANG,BWM,25,0.26328437917222963,6.82,187.92,88.28,0.2981,0.3626,0.0395,0.0,0.8024,0.0331,226.12,-2.2828,0.65,0.69,0.17,0.57,mid
BANG,BWM,26,0.2612051792828685,7.61,154.26,77.78,0.1604,0.2501,0.0103,0.0,0.8617,0.0178,218.63,-0.137,0.64,0.68,0.08,0.54,mid
BANG,BWM,27,0.26104417670682734,5.01,158.32,99.54,0.0913,0.2334,0.0356,0.0,0.9324,0.0196,223.15,-2.0217,0.74,0.61,0.13,0.58,mid
BANG,BWM,28,0.26248366013071894,5.53,190.18,79.6,0.0183,0.1575,0.1361,0.0,1.0589,0.0547,237.15,-2.5606,0.88,0.42,0.42,0.65,mid
BANG,BWM,29,0.32082504970178927,5.71,158.47,92.77,0.0711,0.2085,0.0249,0.0,1.0452,0.0378,227.21,-2.6036,0.75,0.54,0.21,0.58,mid
BANG,BWM,30,0.2742022714981071,5.21,178.47,86.59,0.0478,0.2288,0.0587,0.0,1.0545,0.0493,232.05,-2.9264,0.82,0.5,0.33,0.63,mid
BANG,BWM,31,0.3081857839363613,7.27,163.7,94.41,0.2151,0.2433,0.072,0.0,1.094,0.0688,234.08,-2.2459,0.65,0.46,0.4,0.54,mid
BANG,CFM,01,0.3275323516287372,179.95,111.33,94.78,0.0,0.2532,0.0587,0.0,0.8967,0.1006,234.8,0.6336,0.75,0.61,0.43,0.64,mid
BANG,CFM,02,0.3281653746770026,6.31,110.28,82.47,0.2482,0.3323,0.078,0.0,0.9126,0.0896,232.94,1.5332,0.48,0.58,0.35,0.48,mid
BANG,CFM,03,0.4074074074074074,0.17,126.1,57.76,0.0,0.154,0.0193,0.0,0.8614,0.0582,237.02,-1.5876,0.82,0.67,0.4,0.69,mid
