spec,loc,num,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,gill_score,eye_score,body_score,rule_score,rule_quality
BANG,CFM,10,2.82,158.39,98.63,0.023,0.2289,0.4123,0.004,0.7007,0.0956,235.33,0.7699,0.83,0.27,0.42,0.58,mid
BANG,CFM,11,1.59,136.42,82.39,0.0241,0.2825,0.1759,0.0009,0.9831,0.0606,235.07,2.4556,0.76,0.34,0.28,0.54,mid
BANG,CFM,12,1.26,153.57,66.22,0.0226,0.2362,0.1761,0,0.8358,0.0891,234.29,2.5837,0.8,0.53,0.34,0.63,mid
BANG,CFM,13,2.09,144.73,73.84,0.0059,0.2326,0.2307,0.002,0.7678,0.0907,236.11,2.3861,0.78,0.31,0.38,0.56,mid
BANG,CFM,14,2.32,148.71,71.51,0.1087,0.3043,0.0957,0,0.8059,0.1771,237.06,0.8078,0.74,0.64,0.65,0.69,mid
BANG,CFM,15,2.59,180.77,95.65,0,0.0979,0.1452,0.0005,1.2837,0.0072,232.03,0.1554,0.9,0.33,0.16,0.58,mid
BANG,CFM,16,179.42,163.56,90.33,0.0143,0.1427,-0.0018,0,1.0917,0.0043,231.01,1.0627,0.88,0.54,0.12,0.63,mid
BANG,CFM,17,179.06,164.83,85.63,0.0016,0.1677,0.0438,0.0002,1.2196,0.0064,230.76,-1.3069,0.87,0.46,0.17,0.61,mid
BANG,CFM,18,4.61,159.21,118.7,0.0036,0.2394,0.0533,0.0009,1.1233,0.0311,231.45,-1.9481,0.81,0.38,0.25,0.57,mid
BANG,CFM,19,10.24,191.64,86.6,0.4646,0.1832,-0.018,0,1.1529,0.033,242.51,-1.9919,0.67,0.55,0.44,0.59,mid
BANG,CFM,20,179.45,168.82,80.25,0.0016,0.1706,0.0687,0.0001,0.9011,0.0283,231.04,1.3652,0.88,0.59,0.16,0.65,mid
BANG,CFM,21,179.86,146.28,94.2,0,0.225,0.1413,0.0008,0.8105,0.0392,228.3,-0.4327,0.85,0.5,0.18,0.61,mid
