spec,loc,num,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b
BANG,NFP,22,-0.0362,0.0017,0.7422,0.1706,242.5,-2.8293
BANG,NFP,23,-0.03,0.0,0.7809,0.1519,241.18,-1.4497
BANG,NFP,24,-0.1421,0.0,0.7781,0.1668,232.62,-0.381
BANG,NFP,25,-0.0663,0.0015,0.8105,0.1672,237.86,0.8487
BANG,NFP,26,-0.0322,0.0005,0.7928,0.1467,243.7,-3.9311
BANG,NFP,27,0.0223,0.0,0.6946,0.1088,234.89,1.2224
BANG,NFP,28,0.0409,0.0,0.6573,0.1144,235.71,2.2551
BANG,NFP,29,0.046,0.0,0.5452,0.1353,237.37,-0.8693
BANG,NFP,30,0.0269,0.0,0.5516,0.0907,238.73,-0.476
BANG,NFP,31,0.0554,0.0,0.6473,0.097,235.96,0.0925
BANG,PWM,01,-0.1053,0.0,0.891,0.1797,240.15,-4.2311
BANG,PWM,02,0.1456,0.0,0.8161,0.1508,239.1,-2.8193
BANG,PWM,03,0.1029,0.0,0.863,0.1389,238.38,-3.3937
BANG,PWM,04,0.0373,0.0,0.8446,0.1259,240.19,-5.0463
BANG,PWM,05,0.1261,0.0,0.856,0.1394,240.03,-2.3434
BANG,PWM,06,0.0999,0.0,0.8369,0.1015,240.03,-1.746
BANG,PWM,07,0.0295,0.0,0.657,0.0984,239.5,-0.3101
BANG,PWM,08,0.0121,0.0,0.7771,0.0945,239.89,-1.3563
BANG,PWM,09,0.0327,0.0,0.6761,0.1139,242.96,-0.9584
BANG,PWM,10,0.1229,0.0,0.7015,0.104,243.87,-1.2402
BANG,PWM,11,0.0526,0.0,0.7506,0.0415,232.6,-2.0581
BANG,PWM,12,-0.0861,0.0,0.8498,0.1166,242.85,-1.3104
BANG,PWM,13,-0.0034,0.0,0.8168,0.1335,241.81,-0.5026
BANG,PWM,14,0.0869,0.0,0.6744,0.1337,241.79,-1.2121
