filename,species,quality_label,image_path,red_intensity_lab_a_mean,red_coverage_lab_a_ratio,eye_L_mean,eye_cloudiness_ratio,laplacian_variance,sobel_gradient_mean,edge_density_canny,gray_std_dev,gray_entropy,local_contrast,lbp_texture_score,cloudy_pixel_ratio,mean_saturation,mean_value,saturation_std_dev,highlight_ratio,brightest_pixel_ratio,reflection_intensity,highlight_area_std,rgb_redness_ratio,lab_a_mean,lab_a_std,hsv_hue_mean,hsv_hue_std,red_channel_dominance,bgr_blue_ratio,eye_area,eye_perimeter,circularity,aspect_ratio,contour_compactness,otsu_threshold_value
TILA_PWM_27_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_27_eye.jpg,0.02179,0.0,4.698853,,486.66394,14.297787,0.014526,28.562307,0.431615,1.82874,938341.9375,0.001709,2.355225,4.717957,17.117144,1.0,0.0,4.406921,36.949291,0.015737,0.02179,0.637053,3.131897,17.339752,7.642857,0.01749,582.0,109.597979,0.608874,0.382979,20.638689,77.0
TILA_PWM_28_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_28_eye.jpg,0.071533,0.0,4.501099,,229.598389,10.697852,0.010986,25.249445,0.35285,1.289917,956166.0,0.000793,1.345825,4.531494,12.109311,1.0,0.0,4.237854,36.949291,0.013032,0.071533,0.420583,3.996216,22.931591,5.454198,0.014056,483.0,95.941125,0.659398,0.425,19.057349,71.0
TILA_PWM_29_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_29_eye.jpg,0.152832,0.001709,5.559875,,331.677979,13.961739,0.011902,34.023193,0.429146,1.676403,938674.4375,0.003845,2.565308,5.751038,17.296328,1.0,0.00061,5.278198,36.949291,0.016631,0.152832,0.964118,2.525269,17.005133,13.554717,0.016208,574.5,105.355338,0.650409,0.409091,19.320709,90.0
TILA_PWM_30_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_30_eye.jpg,0.068726,0.000305,4.100769,,464.39624,14.231469,0.013123,27.657776,0.395396,1.776962,948360.0625,0.002808,2.615417,4.256042,18.244806,1.0,6.1e-05,3.863342,36.949291,0.014145,0.068726,0.696261,3.909729,20.786129,11.58642,0.016972,513.0,101.597979,0.624535,0.395349,20.121149,79.0
TILA_PWM_32_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_32_eye.jpg,0.016907,0.0,1.161621,,162.098145,5.358856,0.004333,14.410926,0.13186,0.656741,1010367.75,0.000183,1.196777,1.248169,13.875508,1.0,0.000122,1.087646,36.949291,0.004459,0.016907,0.235973,1.654175,14.268167,3.030303,0.006159,128.0,50.142135,0.639756,0.428571,19.642451,71.0
TILA_PWM_33_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_33_eye.jpg,0.023987,0.000122,4.098267,,409.379517,12.598177,0.013611,25.517906,0.425494,1.613361,939648.125,0.001953,3.503662,4.414917,20.798676,1.0,0.000183,3.825928,36.949291,0.014674,0.023987,0.660032,4.911865,22.757332,12.424242,0.019629,564.5,110.183765,0.584304,0.354167,21.506576,67.0
TILA_PWM_35_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_35_eye.jpg,0.094666,0.000916,3.204163,,462.884338,11.250504,0.009888,24.663137,0.290201,1.39456,972471.75,0.003845,2.633606,3.499878,19.793957,1.0,0.000183,3.025452,36.949291,0.009729,0.094666,0.805414,3.919128,21.842831,8.857142,0.014104,358.0,85.455844,0.616041,0.351351,20.398607,81.0
TILA_PWM_36_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_36_eye.jpg,0.19574,0.005859,3.615417,,312.847046,12.15037,0.009583,26.111168,0.290689,1.431427,971702.1875,0.001831,3.26355,4.087036,21.882242,1.0,0.0,3.451843,36.949291,0.01131,0.19574,1.479128,1.914429,14.628296,25.256023,0.012418,348.0,86.627417,0.582745,0.315789,21.564107,89.0
TILA_PWM_37_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_37_eye.jpg,0.170471,0.004883,4.348938,,430.007324,13.740953,0.013733,26.779398,0.440213,1.740583,934965.3125,0.000977,3.397461,4.781372,19.720493,1.0,0.0,4.062012,36.949291,0.015426,0.170471,1.245178,5.025269,24.354006,18.492147,0.019465,546.5,166.953317,0.246383,0.425532,51.003495,71.0
TILA_PWM_38_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_38_eye.jpg,0.27533,0.010437,4.342834,,437.963379,13.997086,0.013123,26.39851,0.42706,1.741588,939185.4375,0.001831,3.290894,4.783997,19.576712,1.0,0.000427,4.119812,36.949291,0.016139,0.27533,1.932121,4.89325,25.405308,22.406076,0.017743,448.5,159.639609,0.221152,0.375,56.822307,74.0
